name,status,e,md,mf,mln,msl,mss,tdp,computer,train time,predict time,diff mean,abs diff mean,diff var,abs diff var,median,mode,training time (hours),r^2
rfm_e100_md12_mfAUTO_mln50000_msl4_mss2_tdp50.yml,complete,100.0,12.0,AUTO,50000.0,4.0,2.0,50.0,finwhale,1:07:12.801018,0:00:34.650365,-0.0012229070487355805,3.729411291434898,26.68055600374541,12.772048918564932,0.12395630782901912,,,0.862328116553307
rfm_e100_md12_mfAUTO_mln10000_msl1_mss5_tdp50.yml,complete,100.0,12.0,AUTO,10000.0,1.0,5.0,50.0,bristlecone,1:07:41.432182,0:00:32.776918,-0.001344951555712172,4.1693564691767016,32.626086544356,15.242554986184988,0.1571352264008663,,,0.8316491312740745
rfm_e50_md12_mfAUTO_mln5000_msl1_mss5_tdp75.yml,complete,50.0,12.0,AUTO,5000.0,1.0,5.0,75.0,ocotal,1:07:43.857492,0:00:25.756345,-0.0004559605595899293,3.796888858145584,27.962239876193532,13.545875082983557,0.14105239950212614,,,0.8557146244835987
rfm_e10_md12_mfAUTO_mln50000_msl1_mss10_tdp75.yml,complete,10.0,12.0,AUTO,50000.0,1.0,10.0,75.0,finwhale,0:13:09.771805,0:00:04.577796,0.00028263826988116943,3.8032035645197366,28.11151256647072,13.647155293179452,0.13773482755578306,,,0.8549443769056005
rfm_e10_md12_mfAUTO_mln10000_msl8_mss10_tdp75.yml,complete,10.0,12.0,AUTO,10000.0,8.0,10.0,75.0,finwhale,0:13:07.190814,0:00:04.588627,0.00031383147032023044,3.803390081941585,28.11613109596551,13.650355079044125,0.13776299395751046,,,0.8549205451616109
rfm_e10_md12_mfAUTO_mln10000_msl8_mss5_tdp25.yml,complete,10.0,12.0,AUTO,10000.0,8.0,5.0,25.0,finwhale,0:03:57.487708,0:00:04.582720,0.00034126399526714736,3.756789662823284,27.23245486863608,13.118986414401276,0.13626411754680667,,,0.8594803212496058
rfm_e10_md12_mfAUTO_mln10000_msl2_mss5_tdp50.yml,complete,10.0,12.0,AUTO,10000.0,2.0,5.0,50.0,finwhale,0:08:25.910799,0:00:04.581553,-0.001334001185067643,3.770278189741591,27.326011444188747,13.11101559570675,0.12543910203689151,,,0.8589975600131742
rfm_e50_md12_mfAUTO_mln50000_msl4_mss10_tdp75.yml,in progress bristlecone,50.0,12.0,AUTO,50000.0,4.0,10.0,75.0,,,,,,,,,,,
rfm_e100_md60_mfAUTO_mln1000_msl2_mss5_tdp25.yml,in progress ocotal,100.0,60.0,AUTO,1000.0,2.0,5.0,25.0,,,,,,,,,,,
rfm_e100_md25_mfAUTO_mln1000_msl1_mss10_tdp50.yml,in progress finwhale,100.0,25.0,AUTO,1000.0,1.0,10.0,50.0,,,,,,,,,,,
rfm_e10_md60_mfAUTO_mln1000_msl2_mss2_tdp25.yml,not run,10.0,60.0,AUTO,1000.0,2.0,2.0,25.0,,,,,,,,,,,
rfm_e100_md100_mfAUTO_mln1000_msl8_mss10_tdp50.yml,not run,100.0,100.0,AUTO,1000.0,8.0,10.0,50.0,,,,,,,,,,,
rfm_e100_md25_mfAUTO_mln1000_msl8_mss5_tdp75.yml,not run,100.0,25.0,AUTO,1000.0,8.0,5.0,75.0,,,,,,,,,,,
rfm_e10_md100_mfAUTO_mln1000_msl8_mss2_tdp75.yml,not run,10.0,100.0,AUTO,1000.0,8.0,2.0,75.0,,,,,,,,,,,
rfm_e10_md60_mfAUTO_mln1000_msl1_mss10_tdp50.yml,not run,10.0,60.0,AUTO,1000.0,1.0,10.0,50.0,,,,,,,,,,,
rfm_e100_md60_mfAUTO_mln1000_msl8_mss5_tdp75.yml,not run,100.0,60.0,AUTO,1000.0,8.0,5.0,75.0,,,,,,,,,,,
rfm_e50_md12_mfSQRT_mln10000_msl8_mss2_tdp75.yml,not run,50.0,12.0,SQRT,10000.0,8.0,2.0,75.0,,,,,,,,,,,
rfm_e100_md12_mfAUTO_mln1000_msl1_mss5_tdp75.yml,not run,100.0,12.0,AUTO,1000.0,1.0,5.0,75.0,,,,,,,,,,,
rfm_e50_md12_mfLOG2_mln50000_msl4_mss5_tdp75.yml,not run,50.0,12.0,LOG2,50000.0,4.0,5.0,75.0,,,,,,,,,,,
rfm_e50_md12_mfLOG2_mln5000_msl4_mss2_tdp50.yml,not run,50.0,12.0,LOG2,5000.0,4.0,2.0,50.0,,,,,,,,,,,
rfm_e50_md12_mfLOG2_mln10000_msl2_mss5_tdp25.yml,not run,50.0,12.0,LOG2,10000.0,2.0,5.0,25.0,,,,,,,,,,,
rfm_e10_md12_mfAUTO_mln1000_msl1_mss5_tdp50.yml,not run,10.0,12.0,AUTO,1000.0,1.0,5.0,50.0,,,,,,,,,,,
rfm_e100_md12_mfLOG2_mln5000_msl2_mss5_tdp25.yml,not run,100.0,12.0,LOG2,5000.0,2.0,5.0,25.0,,,,,,,,,,,
rfm_e100_md12_mfSQRT_mln10000_msl2_mss2_tdp75.yml,not run,100.0,12.0,SQRT,10000.0,2.0,2.0,75.0,,,,,,,,,,,
rfm_e100_md12_mfSQRT_mln5000_msl4_mss2_tdp50.yml,not run,100.0,12.0,SQRT,5000.0,4.0,2.0,50.0,,,,,,,,,,,
rfm_e10_md12_mfAUTO_mln1000_msl8_mss10_tdp75.yml,not run,10.0,12.0,AUTO,1000.0,8.0,10.0,75.0,,,,,,,,,,,
rfm_e10_md12_mfSQRT_mln10000_msl8_mss10_tdp25.yml,not run,10.0,12.0,SQRT,10000.0,8.0,10.0,25.0,,,,,,,,,,,
rfm_e10_md12_mfLOG2_mln50000_msl2_mss2_tdp25.yml,not run,10.0,12.0,LOG2,50000.0,2.0,2.0,25.0,,,,,,,,,,,
rfm_e10_md12_mfSQRT_mln5000_msl8_mss2_tdp25.yml,not run,10.0,12.0,SQRT,5000.0,8.0,2.0,25.0,,,,,,,,,,,
rfm_e50_md100_mfLOG2_mln1000_msl8_mss10_tdp75.yml,not run,50.0,100.0,LOG2,1000.0,8.0,10.0,75.0,,,,,,,,,,,
rfm_e50_md25_mfSQRT_mln1000_msl4_mss2_tdp25.yml,not run,50.0,25.0,SQRT,1000.0,4.0,2.0,25.0,,,,,,,,,,,
