,name,training data,sp+1,sp,ewp,lsp,fdd,fwp,long,tdd+1,tdd,lat,slope,elev,aspect,labels,random
ACP-training-base_rfm_e60_md100_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,13.333,12.84,11.83,9.733,9.644,9.595,9.073,8.218,8.383,7.327,0.023,0.001,0.0,,
ACP-training-base_rfm_e75_md100_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,13.316,12.838,11.773,9.836,9.612,9.721,9.04,8.137,8.463,7.237,0.025,0.001,0.0,,
ACP-training-base_rfm_e50_md9_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,14.234,16.293,16.975,6.161,8.601,9.859,3.722,9.456,6.749,7.948,0.0,0.0,0.0,,
ACP-training-base_rfm_e50_md13_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,14.038,15.174,14.496,8.145,8.559,9.242,6.47,8.901,7.608,7.365,0.002,0.0,0.0,,
ACP-training-base_rfm_e50_md100_mfAUTO_mln50000_msl8_mss2_tdp75,baseline-ACP-training-base,base,13.375,12.773,11.699,9.779,9.69,9.619,9.177,8.098,8.468,7.294,0.027,0.001,0.0,,
ACP-training-base_rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_tdp75,baseline,base,13.343,12.746,11.703,9.906,9.583,9.712,9.214,8.131,8.395,7.24,0.024,0.001,0.0,,
ACP-training-base_rfm_e50_md100_mfAUTO_mln37500_msl8_mss5_tdp75,baseline-ACP-training-base,base,13.385,12.716,11.736,9.896,9.604,9.734,8.973,8.124,8.604,7.208,0.021,0.001,0.0,,
ACP-training-base_rfm_e50_md100_mfAUTO_mln50000_msl8_mss10_tdp75,baseline-ACP-training-base,base,13.373,12.807,11.645,10.043,9.611,9.566,9.022,8.26,8.37,7.283,0.018,0.001,0.0,,
ACP-training-base_rfm_e50_md10_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,14.404,15.367,16.517,6.297,8.801,10.354,5.009,8.646,7.097,7.506,0.0,0.0,0.0,,
ACP-training-base_rfm_e50_md30_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,13.877,12.211,11.891,9.774,9.382,10.142,9.621,7.643,8.535,6.899,0.025,0.001,0.0,,
ACP-training-base_rfm_e50_md100_mf1_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,11.471,11.504,13.194,9.453,9.41,11.44,6.609,9.703,9.235,5.754,1.341,0.638,0.248,,
ACP-training-base_rfm_e50_md16_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,13.826,13.64,13.274,8.619,9.093,9.876,8.043,8.344,8.27,7.006,0.01,0.0,0.0,,
ACP-training-base_rfm_e50_md15_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,14.147,13.691,13.548,8.443,8.841,9.849,7.944,8.396,8.185,6.947,0.007,0.0,0.0,,
ACP-training-base_rfm_e50_md100_mf4_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,11.985,11.844,11.686,10.529,9.954,10.003,8.738,9.047,8.679,6.969,0.541,0.024,0.002,,
ACP-training-base_rfm_e50_md20_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,13.535,13.075,12.447,9.345,9.495,9.542,8.633,8.252,8.44,7.217,0.017,0.001,0.001,,
